identity,p90,Pj,simulator_power_cost,simulator_mean_tracking_monetary,legacy_economic_term,legacy_tracking_transform,legacy_qos,legacy_full,paper_M_RSR,paper_Ctrack,paper_CQoS,paper_full,legacy_minus_paper
c005_a598775175_r598775175,0.256,"[0.0, 0.0, 0.0, 0.11631333387902099]",37.003600000000006,0.6952907416111112,37.003600000000006,3.4569328963525487,50.0802035822683,90.54073647862086,37.698890741611116,0.4971544503321099,50.0802035822683,88.27624877421152,2.2644877044093334
c007_a1507332087_r1004088181,0.221,"[0.0, 0.0, 0.0, 0.30430134057077063]",40.4293,0.3312186041666667,40.4293,0.6165215539703426,54.251821298303526,95.29764285227387,40.76051860416666,0.37421163014175174,54.251821298303526,95.38655153261195,-0.0889086803380792
c007_a1507332087_r1507332087,0.221,"[0.0, 0.0, 0.0, 0.29895550620939226]",40.4293,0.34249334972222223,40.4293,0.6603330649930815,54.123634675258316,95.2132677402514,40.77179334972222,0.37421163014175174,54.123634675258316,95.26963965512229,-0.0563719148708941
c007_a1507332087_r3514694477,0.228,"[0.0, 0.0, 0.0, 0.2986265317871536]",40.4293,0.3424400976666667,40.4293,0.6601201415250978,54.11576420460077,95.20518434612586,40.771740097666665,0.3965940469802245,54.11576420460077,95.28409834924767,-0.07891400312180963
c007_a1507332087_r624506888,0.232,"[0.0, 0.0, 0.0, 0.31384159881569207]",40.4293,0.34542955788888896,40.4293,0.6721624604223037,54.48194684284954,95.58340930327185,40.77472955788889,0.4098667349636623,54.48194684284954,95.66654313570209,-0.08313383243023509
c007_a2720817509_r1004088181,0.288,"[0.0, 0.0, 0.0, 0.2745945064797457]",40.4293,0.4592163466666668,40.4293,1.2754205470935231,53.5464620811663,95.25118262825981,40.88851634666666,0.6349461015956134,53.5464620811663,95.06992452942856,0.18125809883125044
c007_a2720817509_r2720817509,0.293,"[0.0, 0.0, 0.0, 0.2768766810661015]",40.4293,0.47107135600000005,40.4293,1.3552026638063952,53.6000451903561,95.38454785416249,40.900371356,0.658759555548697,53.6000451903561,95.15917610190479,0.22537175225770056
c007_a2720817509_r3514694477,0.293,"[0.0, 0.0, 0.0, 0.2839677235308501]",40.4293,0.4705057824444445,40.4293,1.3513228438782743,53.76717949077691,95.54780233465519,40.899805782444446,0.658759555548697,53.76717949077691,95.32574482877004,0.2220575058851466
c007_a2720817509_r624506888,0.292,"[0.0, 0.0, 0.0, 0.2798924117695003]",40.4293,0.4632855382222223,40.4293,1.3024401519386843,53.67100630286435,95.40274645480304,40.89258553822222,0.65394696731759,53.67100630286435,95.21753880840416,0.18520764639887943
c007_a2812640469_r1004088181,0.293,"[0.0, 0.0, 0.0, 0.0611513788219612]",40.4293,0.5129972502222223,40.4293,1.6632732544522069,48.98939170951674,91.08196496396894,40.94229725022222,0.658759555548697,48.98939170951674,90.59044851528765,0.4915164486812955
c007_a2812640469_r2812640469,0.293,"[0.0, 0.0, 0.0, 0.06914937932183629]",40.4293,0.5168864865555556,40.4293,1.6938875780254945,49.14377945912881,91.2669670371543,40.946186486555554,0.658759555548697,49.14377945912881,90.74872550123305,0.5182415359212484
c007_a2812640469_r3514694477,0.287,"[0.0, 0.0, 0.0, 0.04798800299925021]",40.4293,0.5120717662222223,40.4293,1.656038914726512,48.73807612391499,90.8234150386415,40.94137176622222,0.6302581946816906,48.73807612391499,90.30970608481888,0.5137089538226149
c007_a2812640469_r624506888,0.287,"[0.0, 0.0, 0.0, 0.055152878447054965]",40.4293,0.5074168020555556,40.4293,1.6199476143145144,48.874439247791585,90.9236868621061,40.93671680205556,0.6302581946816906,48.874439247791585,90.44141424452881,0.48227261757728
c007_a3385754323_r1004088181,0.257,"[0.0, 0.0, 0.0, 0.0]",40.4293,0.39875139200000004,40.4293,0.918782616012587,47.851109550527354,89.19919216653994,40.828051392,0.5010837825796713,47.851109550527354,89.18024472510703,0.018947441432914047
c007_a3385754323_r3385754323,0.266,"[0.0, 0.0, 0.0, 0.0]",40.4293,0.3988487147222223,40.4293,0.9192897190618281,47.851109550527354,89.19969926958919,40.82814871472222,0.5375281114548288,47.851109550527354,89.21678637670439,-0.017087107115202116
c007_a3385754323_r3514694477,0.241,"[0.0, 0.0, 0.0, 0.0]",40.4293,0.36458928022222226,40.4293,0.7537368442055611,47.851109550527354,89.03414639473291,40.79388928022222,0.44104283770798075,47.851109550527354,89.08604166845755,-0.051895273724639424
c007_a3385754323_r624506888,0.263,"[0.0, 0.0, 0.0, 0.0]",40.4293,0.39452244427777783,40.4293,0.8969526849988918,47.851109550527354,89.17736223552625,40.82382244427777,0.5251629497306352,47.851109550527354,89.20009494453576,-0.022732709009517293
c007_a3463391848_r1004088181,0.276,"[0.0, 0.09121830550401988, 0.0, 0.11296204210177352]",40.4293,0.41553129833333335,40.4293,1.0093747340344346,51.7375002197562,93.17617495379064,40.84483129833333,0.580329966626426,51.7375002197562,93.16266148471595,0.013513469074680984
c007_a3463391848_r3463391848,0.273,"[0.0, 0.09003298289012585, 0.0, 0.06655063815680418]",40.4293,0.40910432611111114,40.4293,0.9739231551213386,50.795294328740695,92.19851748386203,40.83840432611111,0.5672321351223194,50.795294328740695,92.20093078997412,-0.0024133061120892307
